site,CLASS,lat,lon,noflowfraction_mean,n_years
8085500,Non-ref,32.93297778,-99.2153889,0.0687517441025641,39
8086212,Ref,32.73289717,-99.1406299,0.32710274435897435,39
8086290,Ref,32.64845613,-99.0045146,0.3864845426153846,39
8091500,Non-ref,32.23153166,-97.7772512,0.05799793758974359,39
8101000,Ref,31.2848902,-97.8850244,0.11625379846153847,39
8103900,Ref,30.91156805,-98.0369676,0.4224771012820513,39
8109700,Ref,30.33937764,-96.9047037,0.12617703512820513,39
8109800,Non-ref,30.40743105,-96.8174791,0.04154199764102564,39
8110100,Non-ref,30.41965196,-96.5402466,0.16534367056410257,39
8110325,Non-ref,31.57433657,-96.520814,0.2796832364102564,39
8110430,Non-ref,31.5068396,-96.3246953,0.23183715666666668,39
8123800,Non-ref,32.1992913,-101.0140029,0.26559526917948717,39
8123850,Non-ref,32.05374399,-100.762052,0.09071756225641026,39
8124000,Non-ref,31.88542168,-100.4806543,0.10215509174358975,39
8126380,Non-ref,31.71542973,-100.0264755,0.046038492282051285,39
8127000,Non-ref,31.74931697,-99.9478636,0.2992637994871795,39
8128400,Ref,31.42738264,-100.7112125,0.486417805030303,33
8134000,Non-ref,31.5926549,-100.6370449,0.4081704581025641,39
8136500,Non-ref,31.5159908,-99.9195226,0.08806336261538461,39
8152000,Non-ref,30.557689,-98.4722511,0.12242951541176471,34
8155200,Ref,30.29631587,-97.925565,0.057777639812499997,32
8155300,Non-ref,30.24465306,-97.8022283,0.605126076923077,39
8156800,Non-ref,30.27659704,-97.7502834,0.48736193714285714,35
8158700,Ref,30.08298924,-98.0077859,0.09830384284615384,39
8158810,Ref,30.15548749,-97.9400076,0.17080626405128205,39
8159000,Non-ref,30.17798987,-97.6886138,0.1720404402051282,39
8164450,Non-ref,29.1602539,-96.5463608,0.06286362894736842,38
8164600,Ref,28.8913759,-96.8191486,0.11304699743589744,39
8164800,Non-ref,28.72527137,-96.7688702,0.06776224761538462,39
8171300,Ref,29.97938297,-97.9100051,0.17943227794871794,39
8172400,Non-ref,29.92299833,-97.6791667,0.3042380558974359,39
8176900,Ref,28.86165308,-97.2263791,0.11575972921052631,38
8178700,Non-ref,29.5160633,-98.4311271,0.37728805294117645,34
8181400,Non-ref,29.57856108,-98.6916896,0.7935550473684211,38
8185000,Non-ref,29.5941166,-98.3111242,0.9316983052631579,38
8189200,Non-ref,28.30361693,-97.1124913,0.5901308846153847,39
8190500,Ref,29.48108333,-100.2391667,0.2162908764102564,39
8192000,Non-ref,29.12385307,-99.8947822,0.07647989230769231,39
8193000,Non-ref,28.50026313,-99.6819935,0.439714482631579,38
8194000,Non-ref,28.42637889,-99.2400322,0.4386941494871795,39
8194200,Ref,27.96501329,-98.9669678,0.5993956242105263,38
8194500,Non-ref,28.30888906,-98.5572384,0.2307367200263158,38
8197500,Non-ref,29.2457934,-99.6744978,0.885820341025641,39
8198000,Ref,29.4910644,-99.492824100000007,0.06107416435897436,39
8200000,Ref,29.57003056,-99.2476889,0.06029508871794872,39
8201500,Ref,29.573284,-99.4030997,0.11357130771794872,39
