predictor,boruta_decision,boruta_imp_median,metric,region_rf
wuse_mm,Confirmed,15.287022933376603,annualfractionnoflow,South Great Plains
irrig_prc,Confirmed,15.892253369212739,annualfractionnoflow,South Great Plains
lulc_water_prc,Confirmed,17.610497436946698,annualfractionnoflow,South Great Plains
lulc_dev_prc,Confirmed,16.736913612032996,annualfractionnoflow,South Great Plains
lulc_wetland_prc,Confirmed,14.040315605489479,annualfractionnoflow,South Great Plains
lulc_forest_prc,Confirmed,17.836677688505826,annualfractionnoflow,South Great Plains
lulc_barren_prc,Confirmed,13.657220115829809,annualfractionnoflow,South Great Plains
lulc_grass_prc,Confirmed,17.138990388133937,annualfractionnoflow,South Great Plains
lulc_ag_prc,Confirmed,14.32722092404689,annualfractionnoflow,South Great Plains
drain_sqkm,Confirmed,18.070063223744242,annualfractionnoflow,South Great Plains
elev_mean_m_basin,Confirmed,17.331359481758348,annualfractionnoflow,South Great Plains
slope_pct,Confirmed,17.27613370730676,annualfractionnoflow,South Great Plains
awcave,Confirmed,13.254490776490313,annualfractionnoflow,South Great Plains
permave,Confirmed,17.86531142904061,annualfractionnoflow,South Great Plains
topwet,Confirmed,16.89689757109407,annualfractionnoflow,South Great Plains
depth_bedrock_m,Confirmed,14.462030460759758,annualfractionnoflow,South Great Plains
porosity,Confirmed,15.430144168258517,annualfractionnoflow,South Great Plains
storage_m,Confirmed,13.78856968096881,annualfractionnoflow,South Great Plains
clayave,Confirmed,13.650244746792035,annualfractionnoflow,South Great Plains
siltave,Confirmed,17.58034653394077,annualfractionnoflow,South Great Plains
sandave,Confirmed,15.833696795739982,annualfractionnoflow,South Great Plains
p_mm_cy,Confirmed,13.623812867902128,annualfractionnoflow,South Great Plains
p_mm_jas,Confirmed,12.840970289120436,annualfractionnoflow,South Great Plains
p_mm_ond,Confirmed,7.934600569882185,annualfractionnoflow,South Great Plains
p_mm_jfm,Confirmed,7.384614839793418,annualfractionnoflow,South Great Plains
p_mm_amj,Confirmed,11.684994314771096,annualfractionnoflow,South Great Plains
pet_mm_cy,Confirmed,12.4956644042698,annualfractionnoflow,South Great Plains
pet_mm_jas,Confirmed,13.946711844372834,annualfractionnoflow,South Great Plains
pet_mm_ond,Confirmed,6.48152311174379,annualfractionnoflow,South Great Plains
pet_mm_jfm,Confirmed,7.718264458121491,annualfractionnoflow,South Great Plains
pet_mm_amj,Confirmed,13.115993427808052,annualfractionnoflow,South Great Plains
T_max_c_cy,Confirmed,10.096131156419958,annualfractionnoflow,South Great Plains
T_max_c_jas,Confirmed,14.724705036700836,annualfractionnoflow,South Great Plains
T_max_c_ond,Confirmed,7.931274718228629,annualfractionnoflow,South Great Plains
T_max_c_jfm,Confirmed,8.197667683948664,annualfractionnoflow,South Great Plains
T_max_c_amj,Confirmed,11.976238783111906,annualfractionnoflow,South Great Plains
swe_mm_cy,Confirmed,4.949521672476246,annualfractionnoflow,South Great Plains
swe_mm_jas,Rejected,-Inf,annualfractionnoflow,South Great Plains
swe_mm_ond,Confirmed,4.454101083400052,annualfractionnoflow,South Great Plains
swe_mm_jfm,Confirmed,4.819470729569522,annualfractionnoflow,South Great Plains
swe_mm_amj,Tentative,2.7669019555921097,annualfractionnoflow,South Great Plains
p.pet_cy,Confirmed,14.538101122880956,annualfractionnoflow,South Great Plains
swe.p_cy,Confirmed,6.542445749197758,annualfractionnoflow,South Great Plains
p.pet_jfm,Confirmed,7.777386403466704,annualfractionnoflow,South Great Plains
swe.p_jfm,Confirmed,6.229938160695262,annualfractionnoflow,South Great Plains
p.pet_amj,Confirmed,13.535958004728739,annualfractionnoflow,South Great Plains
swe.p_amj,Tentative,2.7043850220116075,annualfractionnoflow,South Great Plains
p.pet_jas,Confirmed,14.17692645730073,annualfractionnoflow,South Great Plains
swe.p_jas,Rejected,-Inf,annualfractionnoflow,South Great Plains
p.pet_ond,Confirmed,7.577283291282681,annualfractionnoflow,South Great Plains
swe.p_ond,Confirmed,6.180795621836689,annualfractionnoflow,South Great Plains
p_mm_cy.previous,Confirmed,12.26110814947996,annualfractionnoflow,South Great Plains
p_mm_jas.previous,Confirmed,7.6777990748884015,annualfractionnoflow,South Great Plains
p_mm_ond.previous,Confirmed,8.009705909526579,annualfractionnoflow,South Great Plains
p_mm_jfm.previous,Confirmed,9.433507472498887,annualfractionnoflow,South Great Plains
p_mm_amj.previous,Confirmed,6.168779143717323,annualfractionnoflow,South Great Plains
pet_mm_cy.previous,Confirmed,11.986623703846119,annualfractionnoflow,South Great Plains
pet_mm_jas.previous,Confirmed,10.869373966965895,annualfractionnoflow,South Great Plains
pet_mm_ond.previous,Confirmed,10.164028222306888,annualfractionnoflow,South Great Plains
pet_mm_jfm.previous,Confirmed,7.725287678135723,annualfractionnoflow,South Great Plains
pet_mm_amj.previous,Confirmed,8.408363623759112,annualfractionnoflow,South Great Plains
T_max_c_cy.previous,Confirmed,10.078667024283266,annualfractionnoflow,South Great Plains
T_max_c_jas.previous,Confirmed,10.844651272418563,annualfractionnoflow,South Great Plains
T_max_c_ond.previous,Confirmed,8.721863333692943,annualfractionnoflow,South Great Plains
T_max_c_jfm.previous,Confirmed,8.384690874147202,annualfractionnoflow,South Great Plains
T_max_c_amj.previous,Confirmed,8.59101659007587,annualfractionnoflow,South Great Plains
swe_mm_cy.previous,Confirmed,5.59694315672866,annualfractionnoflow,South Great Plains
swe_mm_jas.previous,Rejected,-Inf,annualfractionnoflow,South Great Plains
swe_mm_ond.previous,Confirmed,4.819799887669613,annualfractionnoflow,South Great Plains
swe_mm_jfm.previous,Confirmed,4.878129850444056,annualfractionnoflow,South Great Plains
swe_mm_amj.previous,Tentative,2.484314460085824,annualfractionnoflow,South Great Plains
p.pet_cy.previous,Confirmed,13.33109372581004,annualfractionnoflow,South Great Plains
swe.p_cy.previous,Confirmed,5.9470172025459895,annualfractionnoflow,South Great Plains
p.pet_jfm.previous,Confirmed,9.602249282526374,annualfractionnoflow,South Great Plains
swe.p_jfm.previous,Confirmed,5.467132093075527,annualfractionnoflow,South Great Plains
p.pet_amj.previous,Confirmed,6.626993856045359,annualfractionnoflow,South Great Plains
swe.p_amj.previous,Tentative,2.7638092664653526,annualfractionnoflow,South Great Plains
p.pet_jas.previous,Confirmed,8.470183616656717,annualfractionnoflow,South Great Plains
swe.p_jas.previous,Rejected,-Inf,annualfractionnoflow,South Great Plains
p.pet_ond.previous,Confirmed,8.174861490616399,annualfractionnoflow,South Great Plains
swe.p_ond.previous,Confirmed,6.183433514357512,annualfractionnoflow,South Great Plains
dams_n,Confirmed,7.603907417534185,annualfractionnoflow,Western Desert
maxstorage_af,Confirmed,6.68158855250322,annualfractionnoflow,Western Desert
normstorage_af,Confirmed,6.39459838817147,annualfractionnoflow,Western Desert
majordams_n,Confirmed,7.247438278094378,annualfractionnoflow,Western Desert
wuse_mm,Confirmed,11.928435630687272,annualfractionnoflow,Western Desert
irrig_prc,Confirmed,8.132100515738182,annualfractionnoflow,Western Desert
lulc_water_prc,Confirmed,9.324153746593723,annualfractionnoflow,Western Desert
lulc_dev_prc,Confirmed,8.321286566261616,annualfractionnoflow,Western Desert
lulc_wetland_prc,Confirmed,7.690424175792659,annualfractionnoflow,Western Desert
lulc_forest_prc,Confirmed,12.678048000583408,annualfractionnoflow,Western Desert
lulc_barren_prc,Confirmed,9.886425252368465,annualfractionnoflow,Western Desert
lulc_grass_prc,Confirmed,12.423399257731722,annualfractionnoflow,Western Desert
lulc_ag_prc,Confirmed,6.448088351527909,annualfractionnoflow,Western Desert
