mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
4,450,6,mae,standard,0.15105497162891313,5,0.00925790340660122,Model090,annualnoflowdays
4,450,6,rmse,standard,0.19809947894213303,5,0.013904666003885737,Model090,annualnoflowdays
4,450,6,rsq,standard,0.2721792441354737,5,0.04028805434082089,Model090,annualnoflowdays
4,650,6,mae,standard,0.15145381929983465,5,0.00909283027032526,Model091,annualnoflowdays
4,650,6,rmse,standard,0.1987962288271474,5,0.013624539738209195,Model091,annualnoflowdays
4,650,6,rsq,standard,0.2678453379194462,5,0.03861293878153909,Model091,annualnoflowdays
4,850,6,mae,standard,0.15148039998123652,5,0.009259266304768995,Model092,annualnoflowdays
4,850,6,rmse,standard,0.19903100891236203,5,0.013870995389297541,Model092,annualnoflowdays
4,850,6,rsq,standard,0.26582651367804944,5,0.03917592024114822,Model092,annualnoflowdays
4,1050,6,mae,standard,0.1516792539184314,5,0.009155761803754691,Model093,annualnoflowdays
4,1050,6,rmse,standard,0.19883388064420005,5,0.013668054639941439,Model093,annualnoflowdays
4,1050,6,rsq,standard,0.26655321187521974,5,0.038414949552992156,Model093,annualnoflowdays
4,1250,6,mae,standard,0.15145800197969747,5,0.009225511534651995,Model094,annualnoflowdays
4,1250,6,rmse,standard,0.19855264790527527,5,0.013712370276127497,Model094,annualnoflowdays
4,1250,6,rsq,standard,0.2686977619678527,5,0.03863481156265674,Model094,annualnoflowdays
4,1450,6,mae,standard,0.151382472785122,5,0.009265532939385064,Model095,annualnoflowdays
4,1450,6,rmse,standard,0.1985551990639488,5,0.013753222092677927,Model095,annualnoflowdays
4,1450,6,rsq,standard,0.2692568449949716,5,0.03889975815790199,Model095,annualnoflowdays
4,1650,6,mae,standard,0.15101970633600229,5,0.009416900851010615,Model096,annualnoflowdays
4,1650,6,rmse,standard,0.19835860151969006,5,0.01396542143869735,Model096,annualnoflowdays
4,1650,6,rsq,standard,0.27025174967813004,5,0.03999585424430378,Model096,annualnoflowdays
6,250,6,mae,standard,0.1527825495009367,5,0.008977730428636824,Model097,annualnoflowdays
6,250,6,rmse,standard,0.20062456689995115,5,0.013766251458628968,Model097,annualnoflowdays
6,250,6,rsq,standard,0.2552317769338848,5,0.03803783308994405,Model097,annualnoflowdays
6,450,6,mae,standard,0.15179421722824968,5,0.00962413922357989,Model098,annualnoflowdays
6,450,6,rmse,standard,0.19890221918270984,5,0.014226852817949932,Model098,annualnoflowdays
6,450,6,rsq,standard,0.26874982104555933,5,0.0426428426150612,Model098,annualnoflowdays
6,650,6,mae,standard,0.15138810530839256,5,0.009510374738828237,Model099,annualnoflowdays
6,650,6,rmse,standard,0.19886333172125356,5,0.014029397807004807,Model099,annualnoflowdays
6,650,6,rsq,standard,0.26719102474356765,5,0.040469006114586585,Model099,annualnoflowdays
6,850,6,mae,standard,0.15141793561799433,5,0.008994429769669143,Model100,annualnoflowdays
6,850,6,rmse,standard,0.1989297763355824,5,0.013576654093290008,Model100,annualnoflowdays
