predictor,IncMSE,metric,region,iteration
pdsi_jas,9.010158517022969e-4,annualfractionnoflow,National,6
pdsi_ond,6.541835134307113e-4,annualfractionnoflow,National,6
pdsi_jfm,4.434519068670494e-4,annualfractionnoflow,National,6
pdsi_amj,0.0013266902065246294,annualfractionnoflow,National,6
p.pet_cy,0.020543065073363467,annualfractionnoflow,National,6
swe.p_cy,6.064740486219521e-4,annualfractionnoflow,National,6
p.pet_jfm,0.0016487227884947866,annualfractionnoflow,National,6
swe.p_jfm,6.470663466618269e-4,annualfractionnoflow,National,6
p.pet_amj,0.00783495463582073,annualfractionnoflow,National,6
swe.p_amj,2.7375681010495667e-6,annualfractionnoflow,National,6
p.pet_jas,0.004893132554235915,annualfractionnoflow,National,6
swe.p_jas,0,annualfractionnoflow,National,6
p.pet_ond,0.0012596064871317222,annualfractionnoflow,National,6
swe.p_ond,3.144819672013114e-4,annualfractionnoflow,National,6
DRAIN_SQKM,0.01376307250399643,annualfractionnoflow,National,6
ELEV_MEAN_M_BASIN,0.010867058387779271,annualfractionnoflow,National,6
SLOPE_PCT,0.008715324178259681,annualfractionnoflow,National,6
AWCAVE,0.004081360677909243,annualfractionnoflow,National,6
PERMAVE,0.002947243996480616,annualfractionnoflow,National,6
TOPWET,0.010113021614480496,annualfractionnoflow,National,6
depth_bedrock_m,0.0034919241467445193,annualfractionnoflow,National,6
CLAYAVE,0.009378808122756986,annualfractionnoflow,National,6
SILTAVE,0.012261940683521459,annualfractionnoflow,National,6
SANDAVE,0.0035252296879321526,annualfractionnoflow,National,6
p_mm_cy,0.012250985394698096,annualfractionnoflow,National,7
p_mm_jas,0.0031169476708733535,annualfractionnoflow,National,7
p_mm_ond,0.0011279960151086934,annualfractionnoflow,National,7
p_mm_jfm,0.0012302055470957542,annualfractionnoflow,National,7
p_mm_amj,0.0034635399865970535,annualfractionnoflow,National,7
pet_mm_cy,0.002881589948508959,annualfractionnoflow,National,7
pet_mm_jas,0.004314156853905652,annualfractionnoflow,National,7
pet_mm_ond,7.253804494855517e-4,annualfractionnoflow,National,7
pet_mm_jfm,8.140213568430952e-4,annualfractionnoflow,National,7
pet_mm_amj,0.00758295977683196,annualfractionnoflow,National,7
T_max_c_cy,0.0011108885190038453,annualfractionnoflow,National,7
T_max_c_jas,0.0012487415666977638,annualfractionnoflow,National,7
T_max_c_ond,8.553978803445578e-4,annualfractionnoflow,National,7
T_max_c_jfm,0.0013933801705570165,annualfractionnoflow,National,7
T_max_c_amj,0.001358675769061239,annualfractionnoflow,National,7
T_min_c_cy,0.0018257091265290733,annualfractionnoflow,National,7
T_min_c_jas,0.0020910479152338774,annualfractionnoflow,National,7
T_min_c_ond,0.0010118011877201123,annualfractionnoflow,National,7
T_min_c_jfm,0.001116364059271288,annualfractionnoflow,National,7
T_min_c_amj,0.0016854269339346198,annualfractionnoflow,National,7
pcumdist10days,6.118331757229583e-4,annualfractionnoflow,National,7
pcumdist50days,0.0018296717517644135,annualfractionnoflow,National,7
pcumdist90days,9.73750313225571e-4,annualfractionnoflow,National,7
swe_mm_cy,4.30229136878229e-4,annualfractionnoflow,National,7
swe_mm_jas,0,annualfractionnoflow,National,7
swe_mm_ond,2.617664513452425e-4,annualfractionnoflow,National,7
swe_mm_jfm,4.7293959757217194e-4,annualfractionnoflow,National,7
swe_mm_amj,-3.200225376834888e-6,annualfractionnoflow,National,7
srad_wm2_cy,0.006635838343797784,annualfractionnoflow,National,7
srad_wm2_jas,0.0013883478353493917,annualfractionnoflow,National,7
srad_wm2_ond,0.0012178638668394071,annualfractionnoflow,National,7
srad_wm2_jfm,0.001503848935524966,annualfractionnoflow,National,7
srad_wm2_amj,0.008135024646701912,annualfractionnoflow,National,7
pdsi_cy,8.568861535797076e-4,annualfractionnoflow,National,7
pdsi_jas,7.360858664288985e-4,annualfractionnoflow,National,7
pdsi_ond,6.106215396878108e-4,annualfractionnoflow,National,7
pdsi_jfm,4.5158386741073274e-4,annualfractionnoflow,National,7
pdsi_amj,0.0011890344408311056,annualfractionnoflow,National,7
p.pet_cy,0.02344670963255531,annualfractionnoflow,National,7
swe.p_cy,5.001353850621158e-4,annualfractionnoflow,National,7
p.pet_jfm,0.0014150390537286197,annualfractionnoflow,National,7
swe.p_jfm,4.493430169036521e-4,annualfractionnoflow,National,7
p.pet_amj,0.00807111712250776,annualfractionnoflow,National,7
swe.p_amj,-5.677531169626098e-6,annualfractionnoflow,National,7
p.pet_jas,0.004607691821315994,annualfractionnoflow,National,7
swe.p_jas,0,annualfractionnoflow,National,7
p.pet_ond,0.0010586766494591526,annualfractionnoflow,National,7
swe.p_ond,2.828132518600023e-4,annualfractionnoflow,National,7
DRAIN_SQKM,0.007561072035082765,annualfractionnoflow,National,7
ELEV_MEAN_M_BASIN,0.011935360366541106,annualfractionnoflow,National,7
SLOPE_PCT,0.008539580227646396,annualfractionnoflow,National,7
AWCAVE,0.0047823096236326084,annualfractionnoflow,National,7
PERMAVE,0.004048422106594787,annualfractionnoflow,National,7
TOPWET,0.0076424136819563246,annualfractionnoflow,National,7
depth_bedrock_m,0.003505773225283399,annualfractionnoflow,National,7
CLAYAVE,0.01497475528013696,annualfractionnoflow,National,7
SILTAVE,0.005477605476635717,annualfractionnoflow,National,7
SANDAVE,0.004710545999159755,annualfractionnoflow,National,7
p_mm_cy,0.013004539821572278,annualfractionnoflow,National,8
p_mm_jas,0.003436674685400436,annualfractionnoflow,National,8
p_mm_ond,0.0011600892447263872,annualfractionnoflow,National,8
p_mm_jfm,0.0011840747744810284,annualfractionnoflow,National,8
p_mm_amj,0.0029500521223031814,annualfractionnoflow,National,8
pet_mm_cy,0.0030963602693034153,annualfractionnoflow,National,8
pet_mm_jas,0.005591142997956607,annualfractionnoflow,National,8
pet_mm_ond,9.085689122499272e-4,annualfractionnoflow,National,8
pet_mm_jfm,0.0010775948091185242,annualfractionnoflow,National,8
pet_mm_amj,0.007873194155329182,annualfractionnoflow,National,8
T_max_c_cy,0.00127790471322031,annualfractionnoflow,National,8
T_max_c_jas,0.0012164724214198824,annualfractionnoflow,National,8
T_max_c_ond,0.0011564540318310548,annualfractionnoflow,National,8
T_max_c_jfm,0.0016649885256075898,annualfractionnoflow,National,8
T_max_c_amj,0.0018334541417959244,annualfractionnoflow,National,8
T_min_c_cy,0.0011607857338908874,annualfractionnoflow,National,8
T_min_c_jas,0.001252703742016056,annualfractionnoflow,National,8
T_min_c_ond,0.0014525121105145485,annualfractionnoflow,National,8
T_min_c_jfm,0.0015399358864933205,annualfractionnoflow,National,8
T_min_c_amj,9.748465164050383e-4,annualfractionnoflow,National,8
pcumdist10days,7.215001754679324e-4,annualfractionnoflow,National,8
